Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extra,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,Physical_Activity,Learning_Disabilities,Exam_Score,School_Type_Private,School_Type_Public,Gender_Female,Gender_Male,Parental_Education_Level_College,Parental_Education_Level_High School,Parental_Education_Level_Postgraduate,Distance_from_Home_Far,Distance_from_Home_Moderate,Distance_from_Home_Near,Peer_Influence_Negative,Peer_Influence_Neutral,Peer_Influence_Positive,Estado,Nota_Previa
23.0,84.0,0,2,False,7.0,73.0,0,Yes,0.0,0,1,3.0,False,67,False,True,False,True,False,True,False,False,False,True,False,False,True,Aprobado,Aprobado
19.0,64.0,0,1,False,8.0,59.0,0,Yes,2.0,1,1,4.0,False,61,False,True,True,False,True,False,False,False,True,False,True,False,False,Reprobado,Reprobado
24.0,98.0,1,1,True,7.0,91.0,1,Yes,2.0,1,1,4.0,False,74,False,True,False,True,False,False,True,False,False,True,False,True,False,Aprobado,Aprobado
29.0,89.0,0,1,True,8.0,98.0,1,Yes,1.0,1,1,4.0,False,71,False,True,False,True,False,True,False,False,True,False,True,False,False,Aprobado,Aprobado
19.0,92.0,1,1,True,6.0,65.0,1,Yes,3.0,1,2,4.0,False,70,False,True,True,False,True,False,False,False,False,True,False,True,False,Aprobado,Aprobado
19.0,88.0,1,1,True,8.0,89.0,1,Yes,3.0,1,1,3.0,False,71,False,True,False,True,False,False,True,False,False,True,False,False,True,Aprobado,Aprobado
29.0,84.0,1,0,True,7.0,68.0,0,Yes,1.0,0,1,2.0,False,67,True,False,False,True,False,True,False,False,True,False,False,True,False,Aprobado,Aprobado
25.0,78.0,0,2,True,6.0,50.0,1,Yes,1.0,2,2,2.0,False,66,False,True,False,True,False,True,False,True,False,False,True,False,False,Aprobado,Reprobado
17.0,94.0,1,2,False,6.0,80.0,2,Yes,0.0,1,0,1.0,False,69,True,False,False,True,True,False,False,False,False,True,False,True,False,Aprobado,Aprobado
23.0,98.0,1,1,True,8.0,71.0,1,Yes,0.0,2,2,5.0,False,72,False,True,False,True,False,True,False,False,True,False,False,False,True,Aprobado,Aprobado
17.0,80.0,0,2,False,8.0,88.0,1,No,4.0,1,2,4.0,False,68,True,False,False,True,True,False,False,False,True,False,False,True,False,Aprobado,Aprobado
17.0,97.0,1,2,True,6.0,87.0,0,Yes,2.0,0,2,2.0,False,71,True,False,False,True,False,True,False,False,False,True,False,True,False,Aprobado,Aprobado
21.0,83.0,1,1,True,8.0,97.0,0,Yes,2.0,1,1,4.0,False,70,False,True,False,True,False,True,False,False,False,True,False,False,True,Aprobado,Aprobado
9.0,82.0,1,1,True,8.0,72.0,1,Yes,2.0,1,1,3.0,False,66,True,False,False,True,False,False,True,False,False,True,False,False,True,Aprobado,Aprobado
10.0,78.0,1,2,True,8.0,74.0,1,Yes,1.0,0,1,4.0,False,65,True,False,False,True,False,False,True,False,False,True,False,True,False,Aprobado,Aprobado
17.0,68.0,1,1,False,8.0,70.0,1,Yes,2.0,1,1,4.0,False,64,True,False,True,False,False,True,False,False,False,True,False,False,True,Reprobado,Aprobado
14.0,60.0,1,0,True,10.0,65.0,0,Yes,0.0,2,1,3.0,False,60,True,False,False,True,True,False,False,False,False,True,False,False,True,Reprobado,Aprobado
22.0,70.0,0,1,True,6.0,82.0,1,Yes,1.0,0,2,3.0,False,65,False,True,True,False,False,True,False,False,False,True,False,True,False,Aprobado,Aprobado
15.0,80.0,1,1,True,9.0,91.0,0,Yes,3.0,0,1,2.0,False,67,False,True,True,False,True,False,False,False,True,False,False,False,True,Aprobado,Aprobado
12.0,75.0,1,2,True,7.0,58.0,1,Yes,3.0,1,1,4.0,False,66,True,False,False,True,True,False,False,False,False,True,False,False,True,Aprobado,Reprobado
29.0,78.0,1,1,False,5.0,99.0,2,Yes,0.0,2,1,1.0,False,69,False,True,True,False,False,True,False,False,True,False,True,False,False,Aprobado,Aprobado
19.0,99.0,1,2,False,6.0,84.0,1,Yes,1.0,1,2,3.0,False,72,False,True,False,True,False,True,False,False,False,True,False,True,False,Aprobado,Aprobado
20.0,74.0,1,2,False,8.0,89.0,0,Yes,1.0,1,1,2.0,False,66,False,True,True,False,True,False,False,False,True,False,True,False,False,Aprobado,Aprobado
