Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extra,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Rendimiento
23.0,84.0,Low,High,No,7.0,73.0,Low,Yes,0.0,Low,Medium,Public,Positive,3.0,No,High School,Near,Male,67,Medio
19.0,64.0,Low,Medium,No,8.0,59.0,Low,Yes,2.0,Medium,Medium,Public,Negative,4.0,No,High School,Near,Female,61,Bajo
24.0,98.0,Medium,Medium,Yes,7.0,91.0,Medium,Yes,2.0,Medium,Medium,Public,Neutral,4.0,No,High School,Near,Male,74,Alto
29.0,89.0,Low,Medium,Yes,8.0,98.0,Medium,Yes,1.0,Medium,Medium,Public,Negative,4.0,No,High School,Near,Male,71,Alto
19.0,92.0,Medium,Medium,Yes,6.0,65.0,Medium,Yes,3.0,Medium,Medium,Public,Neutral,4.0,No,High School,Near,Female,70,Alto
19.0,88.0,Medium,Medium,Yes,8.0,89.0,Medium,Yes,3.0,Medium,Medium,Public,Positive,3.0,No,High School,Near,Male,71,Alto
29.0,84.0,Medium,Low,Yes,7.0,68.0,Low,Yes,1.0,Low,Medium,Private,Neutral,2.0,No,High School,Near,Male,67,Medio
25.0,78.0,Low,High,Yes,6.0,50.0,Medium,Yes,1.0,High,Medium,Public,Negative,2.0,No,High School,Near,Male,66,Bajo
17.0,94.0,Medium,High,No,6.0,80.0,High,Yes,0.0,Medium,Medium,Private,Neutral,1.0,No,High School,Near,Male,69,Medio
23.0,98.0,Medium,Medium,Yes,8.0,71.0,Medium,Yes,0.0,High,Medium,Public,Positive,5.0,No,High School,Near,Male,72,Alto
17.0,80.0,Low,High,No,8.0,88.0,Medium,No,4.0,Medium,Medium,Private,Neutral,4.0,No,High School,Near,Male,68,Medio
17.0,97.0,Medium,High,Yes,6.0,87.0,Low,Yes,2.0,Low,Medium,Private,Neutral,2.0,No,High School,Near,Male,71,Alto
21.0,83.0,Medium,Medium,Yes,8.0,97.0,Low,Yes,2.0,Medium,Medium,Public,Positive,4.0,No,High School,Near,Male,70,Alto
9.0,82.0,Medium,Medium,Yes,8.0,72.0,Medium,Yes,2.0,Medium,Medium,Private,Positive,3.0,No,High School,Near,Male,66,Bajo
10.0,78.0,Medium,High,Yes,8.0,74.0,Medium,Yes,1.0,Low,Medium,Private,Neutral,4.0,No,High School,Near,Male,65,Bajo
17.0,68.0,Medium,Medium,No,8.0,70.0,Medium,Yes,2.0,Medium,Medium,Private,Positive,4.0,No,High School,Near,Female,64,Bajo
14.0,60.0,Medium,Low,Yes,10.0,65.0,Low,Yes,0.0,High,Medium,Private,Positive,3.0,No,High School,Near,Male,60,Bajo
22.0,70.0,Low,Medium,Yes,6.0,82.0,Medium,Yes,1.0,Low,Medium,Public,Neutral,3.0,No,High School,Near,Female,65,Bajo
15.0,80.0,Medium,Medium,Yes,9.0,91.0,Low,Yes,3.0,Low,Medium,Public,Positive,2.0,No,High School,Near,Female,67,Medio
12.0,75.0,Medium,High,Yes,7.0,58.0,Medium,Yes,3.0,Medium,Medium,Private,Positive,4.0,No,High School,Near,Male,66,Bajo
29.0,78.0,Medium,Medium,No,5.0,99.0,High,Yes,0.0,High,Medium,Public,Negative,1.0,No,High School,Near,Female,69,Medio
19.0,99.0,Medium,High,No,6.0,84.0,Medium,Yes,1.0,Medium,Medium,Public,Neutral,3.0,No,High School,Near,Male,72,Alto
20.0,74.0,Medium,High,No,8.0,89.0,Low,Yes,1.0,Medium,Medium,Public,Negative,2.0,No,High School,Near,Female,66,Bajo
11.0,78.0,High,Medium,Yes,8.0,100.0,High,Yes,1.0,Low,Medium,Public,Neutral,3.0,No,High School,Near,Male,66,Bajo
17.0,65.0,Low,High,Yes,5.0,75.0,Medium,Yes,2.0,Low,Medium,Public,Positive,3.0,No,High School,Near,Female,63,Bajo
21.0,62.0,High,Low,Yes,6.0,54.0,High,Yes,0.0,High,Medium,Public,Positive,3.0,No,High School,Near,Male,64,Bajo
13.0,91.0,Low,Medium,No,6.0,90.0,Medium,Yes,1.0,High,Medium,Public,Negative,2.0,Yes,High School,Near,Female,65,Bajo
22.0,83.0,High,High,Yes,6.0,94.0,Medium,Yes,0.0,High,Medium,Public,Neutral,2.0,No,High School,Near,Male,71,Alto
16.0,90.0,Medium,Medium,No,4.0,58.0,Medium,Yes,1.0,Low,Medium,Public,Neutral,3.0,No,High School,Near,Female,66,Bajo
18.0,66.0,High,High,No,4.0,51.0,Low,Yes,2.0,Low,Medium,Private,Neutral,2.0,No,High School,Near,Male,64,Bajo
16.0,83.0,Low,Medium,No,6.0,57.0,Medium,Yes,0.0,High,Medium,Public,Positive,4.0,Yes,High School,Near,Female,63,Bajo
31.0,70.0,Medium,High,Yes,7.0,66.0,Medium,Yes,1.0,High,Medium,Public,Negative,3.0,No,High School,Near,Male,69,Medio
20.0,69.0,Medium,Medium,Yes,8.0,96.0,Medium,Yes,2.0,Medium,Medium,Public,Positive,3.0,No,High School,Near,Male,67,Medio
14.0,60.0,High,Medium,No,5.0,50.0,Medium,Yes,2.0,Medium,Medium,Public,Neutral,3.0,No,High School,Near,Female,61,Bajo
25.0,65.0,High,Medium,No,5.0,90.0,Medium,Yes,2.0,Medium,Medium,Public,Positive,3.0,No,High School,Near,Female,68,Medio
13.0,72.0,Low,Medium,No,6.0,93.0,Low,Yes,1.0,Low,Medium,Public,Negative,3.0,No,High School,Near,Male,61,Bajo
21.0,65.0,Medium,Low,Yes,7.0,91.0,Low,Yes,2.0,Medium,Medium,Public,Positive,3.0,No,High School,Near,Female,64,Bajo
8.0,99.0,Medium,Medium,No,9.0,54.0,Low,Yes,2.0,Low,Medium,Public,Neutral,5.0,No,High School,Near,Female,67,Medio
12.0,72.0,Low,Medium,Yes,8.0,84.0,Medium,Yes,1.0,Low,Medium,Public,Positive,5.0,No,High School,Near,Female,63,Bajo
21.0,65.0,Low,Medium,Yes,6.0,98.0,Low,Yes,1.0,Medium,Medium,Public,Negative,4.0,No,High School,Near,Male,64,Bajo
24.0,68.0,High,Medium,No,8.0,56.0,Low,Yes,3.0,High,Medium,Public,Neutral,1.0,No,High School,Near,Male,67,Medio
21.0,84.0,Medium,Medium,Yes,6.0,52.0,Low,Yes,1.0,Medium,Medium,Public,Neutral,2.0,Yes,High School,Near,Female,65,Bajo
19.0,63.0,Low,High,No,7.0,94.0,Medium,Yes,1.0,Medium,Medium,Private,Positive,3.0,No,High School,Near,Male,64,Bajo
18.0,94.0,Medium,High,Yes,7.0,82.0,Medium,Yes,3.0,Medium,Medium,Private,Negative,2.0,Yes,High School,Near,Male,70,Alto
11.0,98.0,Medium,Medium,Yes,9.0,82.0,Low,Yes,1.0,Medium,Medium,Private,Positive,3.0,No,High School,Near,Male,68,Medio
16.0,70.0,Medium,Medium,Yes,8.0,98.0,Medium,Yes,2.0,Medium,Medium,Public,Positive,3.0,No,High School,Near,Male,65,Bajo
