Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extra,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Physical_Activity,Learning_Disabilities,Gender,Exam_Score,Parental_Education_Level_College,Parental_Education_Level_High School,Parental_Education_Level_Postgraduate,Distance_from_Home_Far,Distance_from_Home_Moderate,Distance_from_Home_Near,Peer_Influence_Negative,Peer_Influence_Neutral,Peer_Influence_Positive
23.0,84.0,0,2,False,7.0,73.0,0,True,0.0,0,1,Public,3.0,False,Male,67,False,True,False,False,False,True,False,False,True
19.0,64.0,0,1,False,8.0,59.0,0,True,2.0,1,1,Public,4.0,False,Female,61,True,False,False,False,True,False,True,False,False
24.0,98.0,1,1,True,7.0,91.0,1,True,2.0,1,1,Public,4.0,False,Male,74,False,False,True,False,False,True,False,True,False
29.0,89.0,0,1,True,8.0,98.0,1,True,1.0,1,1,Public,4.0,False,Male,71,False,True,False,False,True,False,True,False,False
19.0,92.0,1,1,True,6.0,65.0,1,True,3.0,1,2,Public,4.0,False,Female,70,True,False,False,False,False,True,False,True,False
19.0,88.0,1,1,True,8.0,89.0,1,True,3.0,1,1,Public,3.0,False,Male,71,False,False,True,False,False,True,False,False,True
29.0,84.0,1,0,True,7.0,68.0,0,True,1.0,0,1,Private,2.0,False,Male,67,False,True,False,False,True,False,False,True,False
25.0,78.0,0,2,True,6.0,50.0,1,True,1.0,2,2,Public,2.0,False,Male,66,False,True,False,True,False,False,True,False,False
17.0,94.0,1,2,False,6.0,80.0,2,True,0.0,1,0,Private,1.0,False,Male,69,True,False,False,False,False,True,False,True,False
23.0,98.0,1,1,True,8.0,71.0,1,True,0.0,2,2,Public,5.0,False,Male,72,False,True,False,False,True,False,False,False,True
17.0,80.0,0,2,False,8.0,88.0,1,False,4.0,1,2,Private,4.0,False,Male,68,True,False,False,False,True,False,False,True,False
17.0,97.0,1,2,True,6.0,87.0,0,True,2.0,0,2,Private,2.0,False,Male,71,False,True,False,False,False,True,False,True,False
21.0,83.0,1,1,True,8.0,97.0,0,True,2.0,1,1,Public,4.0,False,Male,70,False,True,False,False,False,True,False,False,True
9.0,82.0,1,1,True,8.0,72.0,1,True,2.0,1,1,Private,3.0,False,Male,66,False,False,True,False,False,True,False,False,True
10.0,78.0,1,2,True,8.0,74.0,1,True,1.0,0,1,Private,4.0,False,Male,65,False,False,True,False,False,True,False,True,False
17.0,68.0,1,1,False,8.0,70.0,1,True,2.0,1,1,Private,4.0,False,Female,64,False,True,False,False,False,True,False,False,True
14.0,60.0,1,0,True,10.0,65.0,0,True,0.0,2,1,Private,3.0,False,Male,60,True,False,False,False,False,True,False,False,True
22.0,70.0,0,1,True,6.0,82.0,1,True,1.0,0,2,Public,3.0,False,Female,65,False,True,False,False,False,True,False,True,False
15.0,80.0,1,1,True,9.0,91.0,0,True,3.0,0,1,Public,2.0,False,Female,67,True,False,False,False,True,False,False,False,True
12.0,75.0,1,2,True,7.0,58.0,1,True,3.0,1,1,Private,4.0,False,Male,66,True,False,False,False,False,True,False,False,True
29.0,78.0,1,1,False,5.0,99.0,2,True,0.0,2,1,Public,1.0,False,Female,69,False,True,False,False,True,False,True,False,False
19.0,99.0,1,2,False,6.0,84.0,1,True,1.0,1,2,Public,3.0,False,Male,72,False,True,False,False,False,True,False,True,False
20.0,74.0,1,2,False,8.0,89.0,0,True,1.0,1,1,Public,2.0,False,Female,66,True,False,False,False,True,False,True,False,False
